edge_id,src,dst,w_raw,w_norm,severity,severity_norm_mean,severity_norm,R_ij,P_level,C_level,RiskLevel
0,3392,4348,0.0,0.009999999776482582,2.6435537338256836,0.23479339480400085,0.23479339480400085,0.002347933826968074,1,3,3
1,3391,4348,0.0,0.009999999776482582,2.185722827911377,0.16938897967338562,0.16938897967338562,0.001693889731541276,1,3,3
2,3391,4255,0.0,0.009999999776482582,6.173003196716309,0.7390004396438599,0.7390004396438599,0.007390004117041826,1,7,7
3,3391,3395,0.4999999701976776,0.5049999952316284,2.185722827911377,0.16938897967338562,0.16938897967338562,0.08554143458604813,5,3,15
4,3395,4255,0.4999999701976776,0.5049999952316284,6.173003196716309,0.7390004396438599,0.7390004396438599,0.37319523096084595,5,7,35
5,3398,4255,0.0,0.009999999776482582,6.173003196716309,0.7390004396438599,0.7390004396438599,0.007390004117041826,1,7,7
6,3398,4348,0.0,0.009999999776482582,2.0175490379333496,0.14536415040493011,0.14536415040493011,0.0014536414528265595,1,3,3
7,3399,4255,0.0,0.009999999776482582,6.173003196716309,0.7390004396438599,0.7390004396438599,0.007390004117041826,1,7,7
8,3399,3401,0.0,0.009999999776482582,1.9504555463790894,0.13577936589717865,0.13577936589717865,0.0013577935751527548,1,2,2
9,3401,4246,0.4999999701976776,0.5049999952316284,2.73960280418396,0.24851468205451965,0.24851468205451965,0.1254999190568924,5,3,15
10,0,4255,0.0,0.009999999776482582,6.173003196716309,0.7390004396438599,0.7390004396438599,0.007390004117041826,1,7,7
11,0,1,0.0,0.009999999776482582,2.075439929962158,0.15363427996635437,0.15363427996635437,0.0015363427810370922,1,3,3
12,1,3401,0.0,0.009999999776482582,2.075439929962158,0.15363427996635437,0.15363427996635437,0.0015363427810370922,1,3,3
13,3396,3401,0.0,0.009999999776482582,2.075589656829834,0.15365566313266754,0.15365566313266754,0.0015365566359832883,1,3,3
14,2,4255,0.0,0.009999999776482582,6.173003196716309,0.7390004396438599,0.7390004396438599,0.007390004117041826,1,7,7
15,2,3401,0.0,0.009999999776482582,2.2214760780334473,0.1744965761899948,0.1744965761899948,0.0017449656734243035,1,3,3
16,3,4246,0.0,0.009999999776482582,2.73960280418396,0.24851468205451965,0.24851468205451965,0.0024851467460393906,1,3,3
17,3,4,0.0,0.009999999776482582,2.6152713298797607,0.23075304925441742,0.23075304925441742,0.002307530492544174,1,3,3
18,4,4246,0.0,0.009999999776482582,2.73960280418396,0.24851468205451965,0.24851468205451965,0.0024851467460393906,1,3,3
19,3391,4246,0.0,0.009999999776482582,2.73960280418396,0.24851468205451965,0.24851468205451965,0.0024851467460393906,1,3,3
20,3395,3396,0.0,0.009999999776482582,2.075589656829834,0.15365566313266754,0.15365566313266754,0.0015365566359832883,1,3,3
21,5,4246,0.0,0.009999999776482582,2.8209128379821777,0.2601304054260254,0.2601304054260254,0.002601304091513157,1,3,3
22,5,6,0.0,0.009999999776482582,2.8209128379821777,0.2601304054260254,0.2601304054260254,0.002601304091513157,1,3,3
23,6,3394,0.0,0.009999999776482582,1.9985015392303467,0.14264307916164398,0.14264307916164398,0.0014264307683333755,1,2,2
24,7,3394,0.0,0.009999999776482582,1.9985015392303467,0.14264307916164398,0.14264307916164398,0.0014264307683333755,1,2,2
25,3390,4255,0.0,0.009999999776482582,6.173003196716309,0.7390004396438599,0.7390004396438599,0.007390004117041826,1,7,7
26,3390,3395,0.0,0.009999999776482582,1.656124472618103,0.0937320664525032,0.0937320664525032,0.0009373206412419677,1,2,2
27,3188,3189,0.0,0.009999999776482582,2.96543550491333,0.2807765007019043,0.2807765007019043,0.00280776503495872,1,3,3
28,8,3189,0.0,0.009999999776482582,1.3421040773391724,0.04887201264500618,0.04887201264500618,0.0004887201357632875,1,2,2
29,8,3397,0.0,0.009999999776482582,2.2654294967651367,0.18077564239501953,0.18077564239501953,0.0018077563727274537,1,3,3
30,3188,3405,0.0,0.009999999776482582,2.96543550491333,0.2807765007019043,0.2807765007019043,0.00280776503495872,1,3,3
31,3405,3406,1.0,1.0,1.1042935848236084,0.014899083413183689,0.014899083413183689,0.014899083413183689,5,2,10
32,3375,3406,0.0,0.009999999776482582,1.0842410326004028,0.012034432962536812,0.012034432962536812,0.00012034432438667864,1,2,2
33,9,3188,0.0,0.009999999776482582,2.96543550491333,0.2807765007019043,0.2807765007019043,0.00280776503495872,1,3,3
34,9,3404,0.0,0.009999999776482582,1.5431568622589111,0.0775938406586647,0.0775938406586647,0.0007759383879601955,1,2,2
35,3404,3407,0.4999999701976776,0.5049999952316284,2.6472983360290527,0.2353283315896988,0.2353283315896988,0.11884080618619919,5,3,15
36,3187,3189,1.0,1.0,5.104243278503418,0.5863204598426819,0.5863204598426819,0.5863204598426819,5,6,30
37,10,3189,0.0,0.009999999776482582,1.3205589056015015,0.045794129371643066,0.045794129371643066,0.00045794129255227745,1,2,2
38,10,3397,0.0,0.009999999776482582,2.2654294967651367,0.18077564239501953,0.18077564239501953,0.0018077563727274537,1,3,3
39,11,3187,0.0,0.009999999776482582,5.104243278503418,0.5863204598426819,0.5863204598426819,0.005863204598426819,1,6,6
40,11,12,0.0,0.009999999776482582,3.792217254638672,0.39888817071914673,0.39888817071914673,0.003988881595432758,1,4,4
41,12,3187,0.0,0.009999999776482582,5.104243278503418,0.5863204598426819,0.5863204598426819,0.005863204598426819,1,6,6
